country_code,country_name_english,parent_country_code,country_pop_percent,un_region
BDI,Burundi,BDI,0.173486692990565,Africa Group
COM,Comoros,COM,0.0106715998989642,Africa Group
DJI,Djibouti,DJI,0.0143537239097434,Africa Group
ERI,Eritrea,ERI,0.0435456183899156,Africa Group
ETH,Ethiopia,ETH,1.63187536318715,Africa Group
KEN,Kenya,KEN,0.695151008031835,Africa Group
MDG,Madagascar,MDG,0.394676071543424,Africa Group
MWI,Malawi,MWI,0.26759169508949,Africa Group
MUS,Mauritius,MUS,0.0154913256892007,Africa Group
MYT,Mayotte,FRA,0.0040473316469987,Africa Group
MOZ,Mozambique,MOZ,0.428619251980883,Africa Group
REU,Réunion,FRA,0.0107418330751306,Africa Group
RWA,Rwanda,RWA,0.175757224097426,Africa Group
SYC,Seychelles,SYC,0.00160583515351336,Africa Group
SOM,Somalia,SOM,0.235848739385044,Africa Group
SSD,South Sudan,SSD,0.147212299531871,Africa Group
UGA,Uganda,UGA,0.61849713856761,Africa Group
TZA,United Republic of Tanzania,TZA,0.848386818037813,Africa Group
ZMB,Zambia,ZMB,0.263662480102496,Africa Group
ZWE,Zimbabwe,ZWE,0.204835918361922,Africa Group
AGO,Angola,AGO,0.469183028586578,Africa Group
CMR,Cameroon,CMR,0.359887945859955,Africa Group
CAF,Central African Republic,CAF,0.0661356919073607,Africa Group
TCD,Chad,TCD,0.252871177593744,Africa Group
COG,Congo,COG,0.0781787113822742,Africa Group
COD,Democratic Republic of the Congo,COD,1.35460092008811,Africa Group
GNQ,Equatorial Guinea,GNQ,0.0233673231069422,Africa Group
GAB,Gabon,GAB,0.0313047089809054,Africa Group
STP,Sao Tome and Principe,STP,0.00290214170780967,Africa Group
DZA,Algeria,DZA,0.574986337875242,Africa Group
EGY,Egypt,EGY,1.43343150562971,Africa Group
LBY,Libya,LBY,0.090515107167844,Africa Group
MAR,Morocco,MAR,0.466770176786099,Africa Group
SDN,Sudan,SDN,0.62034245213838,Africa Group
TUN,Tunisia,TUN,0.150225530922184,Africa Group
ESH,Western Sahara,ESH,0.00726888364113586,Africa Group
BWA,Botswana,BWA,0.0310080753733868,Africa Group
SWZ,Eswatini,SWZ,0.0152414288018303,Africa Group
LSO,Lesotho,LSO,0.0286739354806073,Africa Group
NAM,Namibia,NAM,0.0373565469580616,Africa Group
ZAF,South Africa,ZAF,0.785490294366796,Africa Group
BEN,Benin,BEN,0.17857239475905,Africa Group
BFA,Burkina Faso,BFA,0.290492883155936,Africa Group
CPV,Cabo Verde,CPV,0.00641870476084115,Africa Group
CIV,Côte d'Ivoire,CIV,0.394299713460268,Africa Group
GMB,Gambia,GMB,0.0340499758559336,Africa Group
GHA,Ghana,GHA,0.423892292053347,Africa Group
GIN,Guinea,GIN,0.182116199549511,Africa Group
GNB,Guinea-Bissau,GNB,0.0271479955973239,Africa Group
LBR,Liberia,LBR,0.0691991613069584,Africa Group
MLI,Mali,MLI,0.302975515711126,Africa Group
MRT,Mauritania,MRT,0.0639536689980133,Africa Group
NER,Niger,NER,0.335152497072767,Africa Group
NGA,Nigeria,NGA,2.86798052027509,Africa Group
SHN,Saint Helena,GBR,6.36331851456788E-05,Africa Group
SEN,Senegal,SEN,0.228326689360062,Africa Group
SLE,Sierra Leone,SLE,0.106516535305376,Africa Group
TGO,Togo,TGO,0.117336848495545,Africa Group
KAZ,Kazakhstan,KAZ,0.252787390646739,Asia and the Pacific Group
KGZ,Kyrgyzstan,KGZ,0.0883425755579681,Asia and the Pacific Group
TJK,Tajikistan,TJK,0.130415688372679,Asia and the Pacific Group
TKM,Turkmenistan,TKM,0.0922082671563406,Asia and the Pacific Group
UZB,Uzbekistan,UZB,0.447887639074805,Asia and the Pacific Group
CHN,China,CHN,17.2958027122018,Asia and the Pacific Group
HKG,"China, Hong Kong SAR",CHN,0.0902373829615861,Asia and the Pacific Group
MAC,"China, Macao SAR",CHN,0.00880393663586562,Asia and the Pacific Group
TWN,"China, Taiwan Province of China",TWN,0.282587411471455,Asia and the Pacific Group
PRK,Dem. People's Republic of Korea,PRK,0.323745199468624,Asia and the Pacific Group
JPN,Japan,JPN,1.50585813574346,Asia and the Pacific Group
MNG,Mongolia,MNG,0.0426597312402724,Asia and the Pacific Group
KOR,Republic of Korea,KOR,0.630684577069701,Asia and the Pacific Group
AFG,Afghanistan,AFG,0.527637319114591,Asia and the Pacific Group
BGD,Bangladesh,BGD,2.13026312024753,Asia and the Pacific Group
BTN,Bhutan,BTN,0.00968579791298229,Asia and the Pacific Group
IND,India,IND,17.7801481404925,Asia and the Pacific Group
